Location,Arabic,Japanese
,,ja
,"""جملة فعلية""",動詞文
,"""جملة اسمية""",名詞文
,اِسْتَطَاعَ,できる
,أَرَادَ,～したい
,كَادَ,～しそう。～するところだった
,شَرِبَ,飲む
,ضَرَبَ,打つ
,ذَهَبَ,行く
,جَلَسَ,座る
,شَبِعَ,満腹になる
,أَكَلَ,食べる
,خَرَجَ,出かける
,مَشَى,歩く
,قَامَ,立つ
,نَجَحَ,合格する、成功する
,بَكَى,泣く
,سَمِعَ,聞く
,جَاءَ,来る
,عَرَفَ,知る
,رَسَبَ,不合格になる
,تَعَلَّمَ,学ぶ、教わる
,لَعِبَ,遊ぶ、スポーツをする
,جَعَلَ,～させる
,شَكَرَ,感謝する、お礼を言う
,جَهَّزَ,用意する、準備する
,وَعَدَ,約束する
,عَاشَ,暮らす、生活を送る
,وَقَفَ,立つ、止まる
,سَجَدَ,サジダする
,مَاتَ,死ぬ
,قَبَضَ,逮捕する
,غَفَرَ,赦す
,صَامَ,断食する
,رَسَمَ,描く
,نَزَلَ,降りる
,رَكَعَ,ひざまずく
,سَافَرَ,旅行する
,وَفَى,尽くす
,لَبِسَ,着る、身に付ける、着用する
,اجْتَهَدَ,努力する
,وَجَدَ,見つける
,وَصَلَ,着く、到着する、たどり着く
,قَرَأَ,読む
,قَعَدَ,座る
,قَالَ,言う
,خَبَّرَ,パンを焼く
,عَلِمَ,知る
,سَأَلَ,尋ねる、訊く、質問する
,رَمَى,投げる、捨てる
,شَاهَدَ,観る
,أَخَذَ,取る
,طَلَعَ,昇る、上る、出る
,حَفِظَ,憶える
,أَخْبَرَ,知らせる
,نَامَ,寝る
,سَاعَدَ,手伝う、助ける
,كَتَبَ,書く
,حَدَّثَ,話す
,جَرَى,走る
,اشْتَرَى,買う
,أَسْرَعَ,急ぐ
,ذَاكَرَ,勉強する
,وَضَعَ,置く
,بَاعَ,売る
,فَهِمَ,理解する
,فَتَحَ,開く
,عَطِشَ,喉が渇く
,سَكَنَ,住む
,أَعْلَمَ,知らせる
,كَسَرَ,壊す
,دَخَلَ,入る
,"""الماضي المعلوم""",「完了形（肯定）」
,"""المضارع المعلوم""",「未完了形（肯定）」
,الأمر,命令形
,معلوم,能動態
,"""مبني للمجهول""","""受け身"""
,مثبت,肯定
,منفي,否定
,حَلِيبٌ,牛乳
,بَابٌ,ドア
,أنا,私
,نحن,私たち
,أنت,あなた
,أنتِ,あなた（女性）
,أنتما,あなた（二人）
,"""أنتما مؤ""","""あなた（二人女性）"""
,أنتم,あなたたち
,أنتن,あなたたち（女性）
,هو,彼
,هي,彼女
,هما,彼ら
,"""هما مؤ""","""彼女ら（二人）"""
,هم,彼ら
,هن,彼女ら
,تُفَاحَةٌ,りんご
,تِلْمِيذٌ,生徒
,ثَوْبٌ,ドレス
,جَبَلٌ,山
,حَقِيبَةٌ,かばん
,خُضَرٌ,野菜
,دَرْسٌ,レッスン
,رَجُلٌ,男
,شَعْرٌ,毛、髪の毛
,صَحْرَاءٌ,砂漠
,صَوْتٌ,声、音
,طَعَامٌ,食べ物
,طَلَبَةٌ,学生
,عَصِيرٌ,ジュース
,عَلَمٌ,旗、国旗
,فَوَاكِهٌ,果物
,قَمَرٌ,月
,قُرْآنٌ,コーラン
,قِصَّةٌ,物語
,قِطَّةٌ,猫
,كَأْسٌ,カップ
,كُرَةٌ,ボール
,كِتَابٌ,本
,لمْرأَةٌ,女性
,مدْرَسةٌ,学校
,مسْرَحِيَّةٌ,遊び
,مُعَلِمٌ,教師
,مِحْفَظَةٌ,財布
,نَاسٌ,人々
,أَحْيَانًا,時々
,البَارِحَةَ,昨日
,اليَوْمَ,今日
,سَاعَةً,一時間
,سَنَةً,一年間
,شِتَاءً,冬
,صَبَاحًا,朝
,صَيْفًا,夏に
,ظُهْرًا,お昼に
,عَصْرًا,夕方
,غَدًا,明日
,فَجْرًا,夜明け
,لَحْظَةَ,一瞬
,لَيْلًا,夜
,مَسَاءً,晩に
,نَهْارًا,日中
,بَيْتٌ,家
,حَدِيقَةٌ,公園、庭
,سُوقٌ,市場
,طَرِيقٌ,道
,غُرْفَةٌ,部屋
,فِنَاءٌ,中庭
,مَدِينَةٌ,街
,مَدْرَسَةٌ,学校
,مَسْجِدٌ,モスク
,مَطْبَخٌ,台所
,أَنِيقٌ,上品な
,بَخِيلٌ,ケチな
,بَشِعٌ,ひどい
,بَطِيءٌ,遅い
,جَمِيلٌ,美しい
,حَزِينٌ,悲しい
,حَنُونٌ,思いやりがある
,ذَكِيٌ,賢い
,سَرِيعٌ,速い
,سَعِيدٌ,幸せな
,سَمِينٌ,太っている
,شُجَاعٌ,勇敢な
,ضَعِيفٌ,弱い
,طَوِيلٌ,背が高い
,غَبِيٌ,馬鹿な
,فَرِحٌ,喜んでいる
,قَصِيرٌ,短い
,قَوِيٌ,強い
,كَرِيمٌ,気前がいい
,كَسُولٌ,怠けている
,لَئِيمٌ,ずるい
,مَسْرُورٌ,嬉しい
,مُبْتَهِجٌ,陽気な
,مُجْتَهِدٌ,勤勉な
,مُرْتَفِعٌ,高い
,مُنْخَفِضٌ,低い
,هَزِيلٌ,痩せている
,وَسِيمٌ,ハンサム
,أَحْمَد,アハマドさん
,وَلَدٌ,子供
,أَبٌ,お父さん
,أَحْمَدُ,アーメド
,أَسَدٌ,ライオン
,أُمٌّ,母親
,اِبْنٌ,息子
,بِنْتٌ,娘
,تَاجِرٌ,商人
,حِصَانٌ,馬
,دِيكٌ,ルースター
,رَضِيعٌ,赤ちゃん
,زُهُورٌ,花
,شُرْطِيٌّ,警官
,طَالِبٌ,学生
,طَبِيبٌ,医者
,طِفْلٌ,子供
,عَامِلٌ,労働者
,عُمَّالٌ,労働者立
,فَاطِمَةُ,ファーティマ
,فَرَاشَةٌ,蝶
,قَاضٌِ,裁判官
,قِطٌّ,猫
