,Arabic,kurdish
,,ku
,"""جملة فعلية""","""بةشةكردار"""
,"""جملة اسمية""","""ڕستەی ناوەکی"""
,اِسْتَطَاعَ,توانا
,أَرَادَ,ویستن
,كَادَ,زۆرینە
,شَرِبَ,خواردنەوە
,ضَرَبَ,بۆ لێدان
,ذَهَبَ,زێڕ
,جَلَسَ,ئەو دانیشت
,شَبِعَ,تێربوون
,أَكَلَ,خواردن
,خَرَجَ,ڕۆیشتە دەرەوە
,مَشَى,ئەو كوڕە پیاسەی كرد
,قَامَ,سەری هەڵدا
,نَجَحَ,سەرکەوتوو بوو
,بَكَى,ماتەمینی گێڕا
,سَمِعَ,گوێی لێ بوو
,جَاءَ,هات
,عَرَفَ,ئەو دەیزانی
,رَسَبَ,شکستی هێنا
,تَعَلَّمَ,بۆ فێربوون
,لَعِبَ,یاری
,جَعَلَ,دروستکردن
,شَكَرَ,بۆ سوپاس
,جَهَّزَ,ئامادە کردن
,وَعَدَ,بەڵێنێک
,عَاشَ,ژیان
,وَقَفَ,هەستا
,سَجَدَ,سوجدەی برد
,مَاتَ,ئەو مردووە
,قَبَضَ,گرتن
,غَفَرَ,لێخۆش بوون
,صَامَ,بەڕۆژوو بوو
,رَسَمَ,کرێ
,نَزَلَ,دابەزاندن
,رَكَعَ,ئەژنۆ بکە
,سَافَرَ,گەشتکردن
,وَفَى,ئەو جێبەجێی کرد
,لَبِسَ,جلوبەرگ
,اجْتَهَدَ,کۆڵ نەدان
,وَجَدَ,دۆزرایەوە
,وَصَلَ,ڕەچەتە
,قَرَأَ,خوێندنەوە
,قَعَدَ,ئەو دانیشت
,قَالَ,ئه‌و ووتی
,خَبَّرَ,هەواڵەکان
,عَلِمَ,زانست
,سَأَلَ,پرسیاری کرد
,رَمَى,هاوێشتن
,شَاهَدَ,گەواهی دەرێک
,أَخَذَ,گرتن
,طَلَعَ,هاتە دەرەوە
,حَفِظَ,هەڵگرتن
,أَخْبَرَ,پێ ووتن
,نَامَ,ئەو خەوت
,سَاعَدَ,یارمەتی
,كَتَبَ,کتێبەکان
,حَدَّثَ,ئه‌وه‌ ڕوویدا
,جَرَى,ڕایکرد
,اشْتَرَى,من دەیکڕم
,أَسْرَعَ,خێراتر
,ذَاكَرَ,باسی کرد
,وَضَعَ,بارودۆخ
,بَاعَ,ڕەق
,فَهِمَ,بۆ تێگەیشتن
,فَتَحَ,کردنەوە
,عَطِشَ,تینوێتی
,سَكَنَ,خانووبەرە
,أَعْلَمَ,زانین
,كَسَرَ,تێکچوو
,دَخَلَ,چوونە ناو
,"""الماضي المعلوم""",ڕابردووی ناسراو
,"""المضارع المعلوم""","""کاتی ئێستا"""
,الأمر,فەرمان
,معلوم,زانراو
,"""مبني للمجهول""","""ناچالاک"""
,مثبت,دامەزراوە
,منفي,دەربەدەری
,حَلِيبٌ,شیر
,بَابٌ,دەرگا
,أنا,من
,نحن,ئێمە
,أنت,تۆ
,أنتِ,تۆ
,أنتما,تۆ
,"""أنتما مؤ""","""تۆ مۆیەکیت"""
,أنتم,هەمووتان
,أنتن,تۆ
,هو,ئەو
,هي,ئەو
,هما,ئەوان
,"""هما مؤ""","""ئەوان مۆیەکن"""
,هم,ئەوان
,هن,ئەوان
,تُفَاحَةٌ,سێو
,تِلْمِيذٌ,قوتابی
,ثَوْبٌ,جل
,جَبَلٌ,چیا
,حَقِيبَةٌ,کەلوپەل
,خُضَرٌ,سەوز
,دَرْسٌ,وانە
,رَجُلٌ,پیاو
,شَعْرٌ,هۆنراوە
,صَحْرَاءٌ,بیابان
,صَوْتٌ,دەنگ
,طَعَامٌ,خواردن
,طَلَبَةٌ,خوێندکاران
,عَصِيرٌ,شەربەت
,عَلَمٌ,زانست
,فَوَاكِهٌ,میوەکان
,قَمَرٌ,مانگ
,قُرْآنٌ,زەماوەند
,قِصَّةٌ,چیرۆک
,قِطَّةٌ,پشیلە
,كَأْسٌ,کوپ
,كُرَةٌ,تۆپ
,كِتَابٌ,کتێب
,لمْرأَةٌ,بۆ ژنێک
,مدْرَسةٌ,قوتابخانە
,مسْرَحِيَّةٌ,یارییەک
,مُعَلِمٌ,مامۆستا
,مِحْفَظَةٌ,جزدان
,نَاسٌ,خەڵک
,أَحْيَانًا,هەندێک جار
,البَارِحَةَ,دوێنێ
,اليَوْمَ,ئەمڕۆ
,سَاعَةً,کاتژمێر
,سَنَةً,ساڵ
,شِتَاءً,زستان
,صَبَاحًا,ئا.م
,صَيْفًا,هاوین
,ظُهْرًا,بەیانی
,عَصْرًا,دوای نیوەڕۆ
,غَدًا,بەیانی
,فَجْرًا,لە سپێدەدا
,لَحْظَةَ,سات
,لَيْلًا,شەو
,مَسَاءً,ئێوارە
,نَهْارًا,ڕۆژ
,بَيْتٌ,خانوو
,حَدِيقَةٌ,باخچە
,سُوقٌ,بازاڕ
,طَرِيقٌ,ڕێگا
,غُرْفَةٌ,ژوور
,فِنَاءٌ,حەوشە
,مَدِينَةٌ,شار
,مَدْرَسَةٌ,قوتابخانە
,مَسْجِدٌ,مزگەوت
,مَطْبَخٌ,مەتبەخ
,أَنِيقٌ,شەنگ
,بَخِيلٌ,چاوچنۆک
,بَشِعٌ,ماڵەوە
,بَطِيءٌ,هێواش
,جَمِيلٌ,جوان
,حَزِينٌ,دڵتەنگە
,حَنُونٌ,هاوسۆز
,ذَكِيٌ,بەچێژ
,سَرِيعٌ,خێرا
,سَعِيدٌ,خۆشحاڵ
,سَمِينٌ,قەڵەو
,شُجَاعٌ,ئازا
,ضَعِيفٌ,لاواز
,طَوِيلٌ,درێژ
,غَبِيٌ,گێل
,فَرِحٌ,خۆشی
,قَصِيرٌ,کورت
,قَوِيٌ,بەهێز
,كَرِيمٌ,سەخی
,كَسُولٌ,تەمبەڵ
,لَئِيمٌ,واتە
,مَسْرُورٌ,خۆشحاڵ
,مُبْتَهِجٌ,دڵخۆشە
,مُجْتَهِدٌ,ئيشى قورس
,مُرْتَفِعٌ,بەرز
,مُنْخَفِضٌ,نزم
,هَزِيلٌ,کەم و کەم
,وَسِيمٌ,قۆز
,أَحْمَد,ئەحمەد
,وَلَدٌ,منداڵ
,أَبٌ,باوک
,أَحْمَدُ,ئەحمەد
,أَسَدٌ,شێر
,أُمٌّ,دایک
,اِبْنٌ,کوڕ
,بِنْتٌ,کچ
,تَاجِرٌ,بازرگان
,حِصَانٌ,ئەسپ
,دِيكٌ,کەروێشک
,رَضِيعٌ,کۆرپە
,زُهُورٌ,گوڵەکانی
,شُرْطِيٌّ,پۆلیسێک
,طَالِبٌ,قوتابی
,طَبِيبٌ,پزیشک
,طِفْلٌ,منداڵ
,عَامِلٌ,هۆکار
,عُمَّالٌ,کرێکاران
,فَاطِمَةُ,فاتیمە
,فَرَاشَةٌ,پەپولە
,قَاضٌِ,دادوەر
,قِطٌّ,پشیلە
,لَيْلَى,لەیلا
,معَلِّمٌ,مامۆستا
,مَرْأَةٌ,ئاوێنە
,مَطَرٌ,باران
,مُحَمَدُ,محەمەد
,مُسْلِمٌ,موسڵمان
,مُهَنْدِسٌ,ئەندازیار
,فعل:,کردارێک:
,زمن:,کات:
,مبني للمعلوم/مجهول:,چالاک/نەناسراو:
,مثبت/منفي:,ئیجابی/نەرێنی:
,مفعول,کاریگەری
,ظرف زمان:,چاک زەمان:
,ظرف مكان:,ڕستەی ڕستەی شوێن:
,بناء,باڵەخانە
,عشوائي,دەگمەن
,عينة,نمونەیەک
,حركة الإعراب,بزووتنەوەی شیکردنەوە
,إظهار حركة الإعراب في أواخر الكلمات,جوڵەی ڕستەسازی لە کۆتایی وشەکاندا نیشان بدە
,اختيار عشوائي للمفردات,هەڵبژاردنی هەڕەمەکی وشەسازی
,نسخ عينة جيسون للتجارب البرمجية,نمونەی JSON کۆپی بکە بۆ تاقیکردنەوە
,بناء الجملة,ڕستەسازی
,مدونتي,یادنامەکەم
,الاستضافة بدعم من شركة,هۆستکردن کە لەلایەن کۆمپانیاکە پشتگیری دەکرێت
