,Arabic,chineese
,"""جملة فعلية""",“实际句子”
,"""جملة اسمية""",“名义句子”
,اِسْتَطَاعَ,可以
,أَرَادَ,想
,كَادَ,几乎
,شَرِبَ,喝
,ضَرَبَ,击中
,ذَهَبَ,金子
,جَلَسَ,他坐下
,شَبِعَ,饱食
,أَكَلَ,食物
,خَرَجَ,出去
,مَشَى,他走了
,قَامَ,他起身
,نَجَحَ,我们成功
,بَكَى,他哀悼
,سَمِعَ,他听到
,جَاءَ,来了
,عَرَفَ,他知道
,رَسَبَ,建立
,تَعَلَّمَ,学习
,لَعِبَ,游戏
,جَعَلَ,制作
,شَكَرَ,感谢
,جَهَّزَ,准备
,وَعَدَ,一个承诺
,عَاشَ,居住
,وَقَفَ,站起来
,سَجَدَ,他找到
,مَاتَ,他死了
,قَبَضَ,抓住
,غَفَرَ,原谅
,صَامَ,快速地
,رَسَمَ,费用
,نَزَلَ,下载
,رَكَعَ,下跪
,سَافَرَ,旅行
,وَفَى,并在
,لَبِسَ,衣服
,اجْتَهَدَ,努力
,وَجَدَ,被发现
,وَصَلَ,收据
,قَرَأَ,读
,قَعَدَ,坐
,قَالَ,他说
,خَبَّرَ,消息
,عَلِمَ,科学
,سَأَلَ,问
,رَمَى,扔
,شَاهَدَ,目击者
,أَخَذَ,服用
,طَلَعَ,称呼
,حَفِظَ,节省
,أَخْبَرَ,告诉
,نَامَ,他睡了
,سَاعَدَ,协助
,كَتَبَ,图书
,حَدَّثَ,它发生了
,جَرَى,他跑了
,اشْتَرَى,我买
,أَسْرَعَ,快点
,ذَاكَرَ,这是
,وَضَعَ,情况
,بَاعَ,卖
,فَهِمَ,理解
,فَتَحَ,打开
,عَطِشَ,口渴
,سَكَنَ,住房
,أَعْلَمَ,知道
,كَسَرَ,抛锚
,دَخَلَ,进入
,"""الماضي المعلوم""",“已知的过去”
,"""المضارع المعلوم""",“现在的时态”
,الأمر,命令
,معلوم,已知
,"""مبني للمجهول""",“被动的”
,مثبت,安装
,منفي,流亡
,حَلِيبٌ,牛奶
,بَابٌ,门
,أنا,我
,نحن,我们
,أنت,你
,أنتِ,你
,أنتما,你
,"""أنتما مؤ""",“你”
,أنتم,你们
,أنتن,你
,هو,他
,هي,她
,هما,他们
,"""هما مؤ""",“他们是”
,هم,他们
,هن,他们
,تُفَاحَةٌ,苹果
,تِلْمِيذٌ,瞳孔
,ثَوْبٌ,裙子
,جَبَلٌ,山
,حَقِيبَةٌ,行李
,خُضَرٌ,绿色的
,دَرْسٌ,课
,رَجُلٌ,男人
,شَعْرٌ,诗歌
,صَحْرَاءٌ,沙漠
,صَوْتٌ,嗓音
,طَعَامٌ,食物
,طَلَبَةٌ,学生
,عَصِيرٌ,果汁
,عَلَمٌ,科学
,فَوَاكِهٌ,水果
,قَمَرٌ,月亮
